position_mm,actual_mm,mean_signal
24.0000,24.0000,1.10899854e+01
24.0101,24.0101,1.09087807e+01
24.0202,24.0202,1.07726962e+01
24.0303,24.0303,1.10024420e+01
24.0404,24.0402,1.11918969e+01
24.0505,24.0506,1.12930618e+01
24.0606,24.0604,1.11329376e+01
24.0707,24.0705,1.10505704e+01
24.0808,24.0809,1.11036879e+01
24.0909,24.0911,1.12874097e+01
24.1010,24.1010,1.13614960e+01
24.1111,24.1113,1.12073503e+01
24.1212,24.1211,1.10418389e+01
24.1313,24.1312,1.12561338e+01
24.1414,24.1410,1.13415346e+01
24.1515,24.1515,1.11291528e+01
24.1616,24.1617,1.07226998e+01
24.1717,24.1716,1.07904376e+01
24.1818,24.1820,1.13642299e+01
24.1919,24.1918,1.17505432e+01
24.2020,24.2021,1.10682287e+01
24.2121,24.2122,9.91253988e+00
24.2222,24.2222,9.94068553e+00
24.2323,24.2325,1.12354863e+01
24.2424,24.2426,1.24116515e+01
24.2525,24.2525,1.20186128e+01
24.2626,24.2627,1.03124755e+01
24.2727,24.2727,8.86918827e+00
24.2828,24.2827,9.85454393e+00
24.2929,24.2930,1.23061437e+01
24.3030,24.3028,1.35434932e+01
24.3131,24.3131,1.18162503e+01
24.3232,24.3231,8.45888305e+00
24.3333,24.3331,8.24224455e+00
24.3434,24.3435,1.18378464e+01
24.3535,24.3535,1.39306499e+01
24.3636,24.3637,1.24089394e+01
24.3737,24.3737,9.61881736e+00
24.3838,24.3836,8.57885392e+00
24.3939,24.3941,1.07784901e+01
24.4040,24.4037,1.24937616e+01
24.4141,24.4143,1.22634614e+01
24.4242,24.4243,1.07530487e+01
24.4343,24.4342,9.52410237e+00
24.4444,24.4445,1.02731433e+01
24.4545,24.4544,1.17271080e+01
24.4646,24.4643,1.21043765e+01
24.4747,24.4746,1.12056337e+01
24.4848,24.4850,1.04874008e+01
24.4949,24.4946,1.06601018e+01
24.5051,24.5051,1.14572548e+01
24.5152,24.5148,1.14122628e+01
24.5253,24.5254,1.10478869e+01
24.5354,24.5354,1.09431578e+01
24.5455,24.5454,1.11461845e+01
24.5556,24.5558,1.12201284e+01
24.5657,24.5657,1.11746193e+01
24.5758,24.5759,1.09530672e+01
24.5859,24.5860,1.10150840e+01
24.5960,24.5960,1.12046392e+01
24.6061,24.6062,1.12753265e+01
24.6162,24.6159,1.11165542e+01
24.6263,24.6263,1.08889910e+01
24.6364,24.6364,1.08838432e+01
24.6465,24.6463,1.10705190e+01
24.6566,24.6563,1.12306458e+01
24.6667,24.6666,1.11322832e+01
24.6768,24.6768,1.09139479e+01
24.6869,24.6867,1.09648264e+01
24.6970,24.6971,1.09803795e+01
24.7071,24.7071,1.12000251e+01
24.7172,24.7171,1.10449015e+01
24.7273,24.7274,1.09198686e+01
24.7374,24.7373,1.09232942e+01
24.7475,24.7474,1.10280431e+01
24.7576,24.7573,1.10608379e+01
24.7677,24.7677,1.11242485e+01
24.7778,24.7777,1.10160372e+01
24.7879,24.7879,1.10599430e+01
24.7980,24.7981,1.11202104e+01
24.8081,24.8081,1.11862916e+01
24.8182,24.8182,1.11098683e+01
24.8283,24.8282,1.10691671e+01
24.8384,24.8384,1.10994609e+01
24.8485,24.8482,1.12268325e+01
24.8586,24.8583,1.10721778e+01
24.8687,24.8684,1.10672040e+01
24.8788,24.8788,1.11153061e+01
24.8889,24.8887,1.11447776e+01
24.8990,24.8989,1.12479934e+01
24.9091,24.9087,1.12231009e+01
24.9192,24.9190,1.11042613e+01
24.9293,24.9293,1.11152071e+01
24.9394,24.9395,1.11894290e+01
24.9495,24.9493,1.12086628e+01
24.9596,24.9596,1.12284654e+01
24.9697,24.9694,1.10135426e+01
24.9798,24.9795,1.09888289e+01
24.9899,24.9896,1.10646254e+01
25.0000,24.9998,1.10662017e+01
