delay_fs,pos_mm,signal_dT_T
-1000.00,139.8501,2.94687732e-04
-950.00,139.8576,9.77847678e-05
-900.00,139.8650,7.79116665e-04
-850.00,139.8726,-2.99241291e-04
-800.00,139.8801,9.87422829e-04
-750.00,139.8876,2.30726466e-04
-700.00,139.8950,-8.17452793e-05
-650.00,139.9026,-4.88731849e-04
-600.00,139.9101,-1.27598973e-04
-550.00,139.9176,1.65552759e-04
